"12/25/2021 23:06","3512B Starboard (4TN00223)","(Total Samples = 2000 - Sample Rate = 120 Per Minute)"
"Unit Descriptions","RPM","kPa","kPa","%","RPM","kPa","kPa","kPa","Deg C","Deg C"
"Sample #","Desired Engine Speed","Boost Pressure","Fuel Pressure","Throttle Position","Engine Speed","Right Turbo Inlet Pressure (abs)","Left Turbo Inlet Pressure (abs)","Crankcase Pressure","Right Exhaust Temperature","Left Exhaust Temperature"
1,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data
2,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data
3,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data
437,847,4,337,15,836,100.5,100.5,0.1,322,299
438,847,4,337,15,845,100.5,100.5,0.0,313,276
439,847,4,337,15,842,100.5,100.5,-0.7,313,276
440,847,4,339,15,850,100.5,100.5,0.0,322,290
441,846,6,339,15,846,100.5,100.5,0.0,318,290
442,847,4,340,15,848,100.5,100.5,0.0,318,271
443,847,6,340,15,843,100.5,100.5,-0.7,304,271
444,847,4,340,15,848,100.5,100.5,0.0,304,285
445,847,6,341,15,849,100.5,100.5,0.1,318,290
446,846,6,341,15,847,100.5,100.5,-0.7,318,290
447,847,6,341,15,847,100.5,100.5,-0.7,299,276
448,847,4,341,15,849,100.5,100.5,-0.7,290,276
449,848,6,341,15,845,100.5,100.5,0.0,290,276
450,847,6,341,15,846,100.5,100.5,0.0,308,276
451,847,4,341,15,846,100.5,100.5,-0.7,308,271
452,847,6,341,15,845,100.5,100.5,0.0,290,262
453,847,6,341,15,849,100.5,100.5,0.0,290,262
454,847,4,341,15,848,100.5,100.5,-0.7,308,271
455,847,6,341,15,847,100.5,100.5,0.1,318,271
456,847,6,340,15,846,100.5,100.5,0.0,318,266
457,846,6,341,15,847,100.5,100.5,0.0,318,266
458,846,6,340,15,847,100.5,100.5,0.0,318,276
459,846,6,340,15,849,100.5,100.5,-0.7,308,266
460,847,4,340,15,843,100.5,100.5,-0.7,308,266
461,847,6,340,15,848,100.5,100.5,0.0,290,271
462,847,6,340,15,846,100.5,100.5,0.1,308,271
463,847,4,340,15,849,100.5,100.5,0.1,308,276
464,847,6,339,15,842,100.5,100.5,0.0,308,276
465,847,6,340,15,847,100.5,100.5,0.0,308,262
466,847,4,340,15,850,100.5,100.5,0.0,308,266
467,847,4,340,15,848,100.5,100.5,0.1,308,266
468,847,6,340,15,845,100.5,100.5,-0.7,318,276
469,846,6,340,15,850,100.5,100.5,0.0,299,276
470,847,4,341,15,849,100.5,100.5,-0.7,299,257
471,847,6,341,15,848,100.5,100.5,-0.7,304,257
472,847,6,341,15,850,100.5,100.5,-0.7,304,280
473,846,6,341,15,851,100.5,100.5,0.1,313,271
474,847,6,341,15,848,100.5,100.5,0.0,313,271
475,847,4,341,15,846,100.5,100.5,-0.7,304,276
476,846,6,341,15,847,100.5,100.5,-0.7,308,276
477,847,6,341,15,848,100.5,100.5,0.0,308,280
478,846,4,341,15,844,100.5,100.5,0.1,285,280
479,847,6,341,15,848,100.5,100.5,0.0,285,257
480,847,6,340,15,849,100.5,100.5,0.0,290,252
481,847,6,340,15,844,100.5,100.5,0.1,290,252
482,847,6,341,15,847,100.5,100.5,-0.7,299,262
483,846,4,341,15,848,100.5,100.5,0.1,285,262
484,846,4,341,15,849,100.5,100.5,0.0,285,262
485,847,4,341,15,848,100.5,100.5,-0.7,285,262
486,847,4,341,15,849,100.5,100.5,0.0,285,266
487,847,6,341,15,847,100.5,100.5,0.0,290,271
488,846,6,341,15,847,100.5,100.5,0.0,290,271
489,847,6,342,15,849,100.5,100.5,0.0,313,280
490,846,4,342,15,848,100.5,100.5,0.0,285,280
491,846,6,342,15,851,100.5,100.5,0.1,285,257
492,847,6,342,15,847,100.5,100.5,0.0,290,257
493,847,4,342,15,851,100.5,100.5,0.0,290,271
494,847,2,342,15,848,100.5,100.5,0.0,304,257
495,847,4,342,15,849,100.5,100.5,0.0,304,257
496,846,4,342,15,846,100.5,100.5,0.1,299,262
497,847,4,342,15,847,100.5,100.5,0.0,299,262
498,846,4,342,15,849,100.5,100.5,0.0,299,262
499,847,6,342,15,849,100.5,100.5,0.0,285,262
500,846,4,342,15,848,100.5,100.5,0.0,285,257
501,847,6,342,15,847,100.5,100.5,0.0,304,266
502,847,6,342,15,850,100.5,100.5,0.0,304,266
503,846,4,343,15,853,100.5,100.5,0.0,304,271
504,847,4,344,15,858,100.5,100.5,0.1,276,271
505,847,4,345,15,856,100.5,100.5,-0.7,276,252
506,846,4,346,15,858,100.5,100.5,0.0,280,252
507,847,2,346,15,851,100.5,100.5,0.1,280,266
508,847,4,346,15,853,100.5,100.5,0.0,285,252
509,847,4,346,15,843,100.5,100.5,-0.7,285,252
510,847,4,345,15,848,100.5,100.5,-0.7,290,262
511,847,4,345,15,848,100.5,100.5,0.1,290,262
512,847,4,345,15,849,100.5,100.5,0.1,290,247
513,847,4,345,15,844,100.5,100.5,-0.7,271,262
514,847,4,344,15,844,100.5,100.5,0.0,271,262
515,847,4,345,15,846,100.5,100.5,0.0,276,266
516,846,4,344,15,849,100.5,100.5,0.1,266,266
517,846,4,345,15,846,100.5,100.5,0.0,266,257
518,846,2,345,15,844,100.5,100.5,0.1,271,257
519,846,2,345,15,847,100.5,100.5,0.1,271,257
520,846,2,344,15,848,100.5,100.5,-0.7,266,242
521,847,4,345,15,847,100.5,100.5,-0.7,266,242
522,846,2,344,15,847,100.5,100.5,0.0,285,242
523,846,4,344,15,848,100.5,100.5,0.0,262,242
524,846,2,344,15,841,100.5,100.5,0.0,262,242
525,847,2,343,15,846,100.5,100.5,0.0,266,242
526,846,4,342,15,838,100.5,100.5,0.0,266,262
527,846,4,341,15,840,100.5,100.5,0.0,276,233
528,846,2,341,15,839,100.5,100.5,0.0,276,233
529,846,2,340,15,840,100.5,100.5,0.0,280,237
530,847,4,339,15,837,100.5,100.5,0.0,257,237
531,846,4,339,15,834,100.5,100.5,0.0,257,252
532,847,4,337,15,828,100.5,100.5,0.0,280,252
533,847,4,336,15,833,100.5,100.5,0.0,280,237
534,847,6,333,15,829,100.5,100.5,0.0,262,233
535,846,4,332,15,843,100.5,100.5,-0.7,262,233
536,847,4,332,15,845,100.5,100.5,-0.7,271,252
537,844,6,333,15,845,100.5,100.5,0.1,285,252
538,847,6,334,15,845,100.5,100.5,0.0,285,242
539,846,6,334,15,847,100.5,100.5,-0.7,276,242
540,847,4,333,15,845,100.5,100.5,0.0,276,257
541,847,4,334,15,849,100.5,100.5,0.0,276,247
542,847,6,334,15,847,100.5,100.5,-0.7,276,247
543,847,6,335,15,851,100.5,100.5,0.0,266,237
544,846,4,335,15,845,100.5,100.5,0.0,276,237
545,846,6,336,15,851,100.5,100.5,-0.7,276,247
546,847,6,338,15,855,100.5,100.5,-0.7,299,247
547,847,4,338,15,848,100.5,100.5,0.0,299,252
548,847,6,339,15,847,100.5,100.5,0.1,276,266
549,847,6,338,15,851,100.5,100.5,0.0,276,266
550,846,4,340,15,857,100.5,100.5,-0.7,285,262
551,846,4,340,15,844,100.5,100.5,0.0,280,262
552,846,4,339,15,845,100.5,100.5,0.0,280,252
553,847,6,339,15,850,100.5,100.5,0.0,280,252
554,846,4,340,15,854,100.5,100.5,-0.7,280,242
555,846,4,341,15,851,100.5,100.5,0.0,299,247
556,847,4,341,15,848,100.5,100.5,0.0,299,247
557,847,4,340,15,843,100.5,100.5,0.0,266,257
558,847,6,340,15,846,100.5,100.5,0.0,299,257
559,847,6,340,15,847,100.5,100.5,0.0,299,247
560,846,6,339,15,847,100.5,100.5,0.1,299,247
561,847,6,339,15,838,100.5,100.5,0.0,299,262
562,846,6,336,15,833,100.5,100.5,0.0,299,257
563,845,4,336,15,848,100.5,100.5,0.1,299,257
564,847,6,336,15,852,100.5,100.5,0.0,285,242
565,847,4,337,15,853,100.5,100.5,0.1,290,242
566,847,4,338,15,847,100.5,100.5,0.0,290,257
567,1159,4,338,39,900,100.5,100.5,0.0,276,257
568,1219,6,340,44,972,100.5,100.5,-0.7,276,257
569,1219,6,348,44,1034,100.5,100.5,0.0,299,262
570,1218,6,349,44,1084,100.5,100.5,0.0,299,262
571,1217,8,363,44,1131,100.5,100.5,0.0,280,252
572,1218,6,371,44,1176,100.5,100.5,-0.7,299,252
573,1219,10,377,44,1203,100.5,100.5,0.0,299,276
574,1219,12,385,44,1238,100.5,100.5,0.0,332,276
575,1219,12,389,44,1262,100.5,100.5,-0.7,332,285
576,1219,12,395,44,1263,100.5,100.5,0.0,340,280
577,1219,14,399,44,1245,100.5,100.5,-0.7,340,280
578,1219,16,402,44,1223,100.5,100.5,-0.7,349,285
579,1219,14,403,44,1216,100.5,100.5,-0.7,336,285
580,1243,16,403,46,1211,100.5,100.5,0.0,336,308
581,1261,18,404,47,1239,100.5,100.5,0.0,354,308
582,1327,16,405,52,1270,100.5,100.5,0.0,354,313
583,1331,22,405,52,1319,100.5,100.5,0.0,354,322
584,1391,22,408,57,1349,100.5,100.5,0.0,354,322
585,1391,24,412,57,1379,100.0,100.5,-0.7,363,336
586,1392,26,418,57,1402,100.0,100.5,0.0,363,336
587,1391,28,418,57,1411,100.0,100.5,0.0,363,340
588,1430,30,422,59,1406,100.0,100.5,0.1,377,340
589,1443,32,426,61,1432,100.0,100.5,0.0,377,336
590,1442,32,433,61,1442,100.0,100.0,-0.7,386,345
591,1444,36,433,61,1451,100.0,100.0,0.1,386,345
592,1443,36,438,61,1457,100.0,100.0,0.0,404,363
593,1443,40,441,61,1458,100.0,100.0,0.0,400,363
594,1444,40,442,61,1452,100.0,100.0,0.0,400,359
595,1444,42,444,61,1453,100.0,100.0,0.0,414,359
596,1443,40,444,61,1453,100.0,100.0,0.0,414,386
597,1443,42,446,61,1456,100.0,100.0,0.1,414,395
598,1443,44,446,61,1445,100.0,100.0,0.1,414,395
599,1444,42,446,61,1445,100.0,100.0,0.0,436,400
600,1444,44,446,61,1446,100.0,100.0,0.0,414,400
601,1338,42,447,54,1430,100.0,100.0,0.0,414,395
602,1289,40,447,49,1359,100.0,100.0,0.1,436,395
603,1288,36,436,49,1318,100.0,100.0,0.0,436,409
604,1289,36,430,49,1295,100.0,100.5,0.0,431,395
605,1288,32,428,49,1287,100.0,100.5,0.0,431,395
606,1290,32,425,49,1283,100.0,100.5,0.1,431,386
607,1290,34,424,49,1278,100.0,100.5,-0.7,418,386
608,1290,30,420,49,1278,100.0,100.5,0.0,418,390
609,1288,28,419,49,1281,100.0,100.5,0.1,422,390
610,1289,32,417,49,1284,100.0,100.5,0.0,422,400
611,1290,30,418,49,1288,100.0,100.5,0.0,431,400
612,1290,28,416,49,1285,100.0,100.5,0.0,431,400
613,1289,28,417,49,1283,100.0,100.5,0.0,409,404
614,1290,28,416,49,1289,100.0,100.5,0.0,418,404
615,1290,26,417,49,1286,100.0,100.5,0.0,418,395
616,1288,28,415,49,1289,100.0,100.5,0.0,431,395
617,1289,28,416,49,1287,100.0,100.5,0.0,431,390
618,1290,28,416,49,1283,100.0,100.5,0.0,431,400
619,1290,28,416,49,1286,100.0,100.5,0.0,431,400
620,1289,26,417,49,1287,100.0,100.5,0.0,431,390
621,1289,30,416,49,1289,100.0,100.5,0.0,427,390
622,1290,26,417,49,1293,100.0,100.5,0.0,427,390
623,1290,30,416,49,1290,100.0,100.5,0.0,414,390
624,1290,26,417,49,1291,100.0,100.5,0.0,414,390
625,1288,30,416,49,1284,100.0,100.5,-0.7,431,409
626,1289,28,416,49,1290,100.0,100.5,0.0,431,409
627,1290,28,416,49,1293,100.0,100.5,0.1,436,404
628,1288,28,415,49,1291,100.5,100.5,0.0,422,404
629,1290,28,417,49,1291,100.0,100.5,-0.7,422,400
630,1288,26,416,49,1292,100.0,100.5,0.0,414,400
631,1288,28,418,49,1294,100.0,100.5,0.0,414,409
632,1290,28,417,49,1287,100.5,100.5,0.0,436,418
633,1290,30,417,49,1292,100.5,100.5,0.0,436,418
634,1291,28,417,49,1293,100.0,100.5,0.0,418,414
635,1290,28,418,49,1293,100.0,100.5,0.0,418,414
636,1289,26,416,49,1290,100.0,100.5,-0.7,418,395
637,1290,28,415,49,1295,100.5,100.5,0.1,422,395
638,1288,26,417,49,1287,100.0,100.5,0.1,422,400
639,1289,30,417,49,1293,100.0,100.5,0.0,414,395
640,1289,26,417,49,1290,100.0,100.5,0.0,414,395
641,1290,28,417,49,1290,100.0,100.5,-0.7,431,404
642,1290,26,416,49,1292,100.0,100.5,-0.7,441,404
643,1289,28,417,49,1290,100.5,100.5,-0.7,441,400
644,1290,26,415,49,1291,100.0,100.5,0.0,436,400
645,1290,30,416,49,1285,100.5,100.5,-0.7,436,400
646,1290,26,416,49,1293,100.5,100.5,0.1,422,395
647,1290,28,416,49,1292,100.0,100.5,0.0,422,395
648,1290,28,416,49,1289,100.5,100.5,0.0,431,404
649,1289,30,416,49,1293,100.0,100.5,-0.7,427,404
650,1291,30,415,49,1291,100.0,100.5,-0.7,427,395
651,1289,28,417,49,1291,100.0,100.5,0.1,422,395
652,1288,28,415,49,1289,100.0,100.5,0.0,422,409
653,1006,26,418,27,1253,100.5,100.5,0.0,441,409
654,941,26,413,22,1104,100.5,100.5,0.0,441,409
655,942,20,405,22,1020,100.5,100.5,-0.7,414,400
656,941,18,395,22,966,100.5,100.5,0.1,427,400
657,942,18,386,22,937,100.5,100.5,0.0,427,404
658,941,14,385,22,928,100.5,100.5,0.1,418,404
659,941,14,374,22,925,100.5,100.5,0.0,418,382
660,941,14,370,22,926,100.5,100.5,0.0,409,382
661,941,12,367,22,930,100.5,100.5,-0.7,409,373
662,941,12,365,22,935,100.5,100.5,0.0,404,373
663,941,12,364,22,934,100.5,100.5,0.1,404,390
664,941,12,364,22,938,100.5,100.5,0.1,404,390
665,941,10,364,22,936,100.5,100.5,0.0,395,382
666,941,12,363,22,939,100.5,100.5,-0.7,395,359
667,941,10,363,22,936,100.5,100.5,-0.7,382,359
668,941,10,363,22,941,100.5,100.5,0.0,382,359
669,941,10,362,22,939,100.5,100.5,0.0,382,359
670,941,8,363,22,943,100.5,100.5,0.0,382,354
671,941,8,363,22,944,100.5,100.5,0.0,382,354
672,942,8,363,22,944,100.5,100.5,0.0,368,368
673,942,10,363,22,942,100.5,100.5,-0.7,368,368
674,941,8,363,22,942,100.5,100.5,0.1,368,363
675,942,8,363,22,940,100.5,100.5,0.0,368,340
676,941,10,363,22,939,100.5,100.5,0.0,377,340
677,942,10,363,22,939,100.5,100.5,0.1,377,332
678,881,8,363,18,921,100.5,100.5,-0.7,373,332
679,873,8,361,17,887,100.5,100.5,0.0,363,336
680,852,8,358,16,855,100.5,100.5,-0.7,363,336
681,852,8,353,16,836,100.5,100.5,0.0,359,340
682,852,8,347,16,831,100.5,100.5,0.1,359,332
683,852,8,347,16,837,100.5,100.5,-0.7,349,332
684,852,8,343,16,842,100.5,100.5,0.0,349,345
685,852,8,340,16,837,100.5,100.5,0.1,336,345
686,1143,8,333,38,862,100.5,100.5,-0.7,345,336
687,1243,8,334,46,933,100.5,100.5,0.1,345,336
688,1250,10,340,46,991,100.5,100.5,0.0,359,332
689,1250,10,347,46,1034,100.5,100.5,0.1,359,327
690,1251,10,355,46,1077,100.5,100.5,0.0,354,327
691,1251,14,355,46,1110,100.5,100.5,0.1,354,327
692,1250,12,360,46,1134,100.5,100.5,0.0,377,327
693,1250,16,366,46,1152,100.5,100.5,0.0,373,336
694,1253,16,378,46,1172,100.5,100.5,0.0,373,336
695,1253,16,382,46,1186,100.5,100.5,-0.7,377,336
696,1251,18,385,46,1197,100.5,100.5,0.0,377,345
697,1251,18,388,46,1206,100.5,100.5,0.0,390,345
698,1250,20,392,46,1213,100.5,100.5,0.0,390,377
699,1253,20,392,46,1226,100.5,100.5,0.0,404,377
700,1253,24,393,46,1256,100.5,100.5,0.0,414,377
701,1250,24,397,46,1267,100.5,100.5,0.0,414,377
702,1253,28,401,46,1279,100.5,100.5,-0.7,427,395
703,1252,28,403,46,1272,100.5,100.5,0.0,427,377
704,1252,26,405,46,1263,100.0,100.5,-0.7,441,377
705,1250,26,405,46,1245,100.0,100.5,0.0,441,382
706,1253,30,405,46,1242,100.5,100.5,-0.7,431,382
707,1252,28,406,46,1248,100.5,100.5,0.0,441,404
708,1250,28,406,46,1238,100.5,100.5,-0.7,441,404
709,1250,30,405,46,1243,100.5,100.5,0.0,445,395
710,1251,30,406,46,1242,100.5,100.5,0.0,445,418
711,1250,30,406,46,1248,100.0,100.5,0.0,441,418
712,1253,30,406,46,1243,100.5,100.5,-0.7,441,414
713,1251,30,406,46,1250,100.5,100.5,0.0,445,414
714,1252,30,406,46,1248,100.5,100.5,0.0,449,409
715,1250,30,406,46,1255,100.5,100.5,0.0,449,409
716,1251,32,407,46,1256,100.0,100.5,0.0,431,409
717,1253,32,407,46,1257,100.0,100.5,0.0,431,422
718,1250,32,408,46,1257,100.0,100.5,-0.7,436,422
719,1253,30,408,46,1261,100.0,100.5,0.0,436,414
720,1251,32,408,46,1262,100.0,100.5,0.0,463,414
721,1251,32,408,46,1256,100.0,100.5,0.0,449,441
722,1251,30,409,46,1254,100.5,100.5,0.0,449,441
723,1251,32,408,46,1259,100.0,100.5,0.0,458,422
724,1250,30,409,46,1261,100.5,100.5,-0.7,458,436
725,1253,32,409,46,1261,100.5,100.5,0.0,463,436
726,1252,28,409,46,1262,100.0,100.5,0.0,463,431
727,1251,26,410,46,1267,100.0,100.5,0.0,441,431
728,1252,30,412,46,1270,100.0,100.5,0.0,449,436
729,1253,28,411,46,1271,100.5,100.5,0.0,449,436
730,1252,28,411,46,1266,100.5,100.5,-0.7,445,422
731,1250,28,412,46,1267,100.5,100.5,0.0,445,436
732,1252,26,413,46,1266,100.5,100.5,0.1,436,436
733,1252,26,413,46,1259,100.5,100.5,0.0,436,431
734,1250,24,413,46,1260,100.0,100.5,-0.7,458,431
735,1250,28,413,46,1258,100.5,100.5,0.0,436,436
736,1253,26,413,46,1257,100.5,100.5,0.0,436,436
737,1250,26,413,46,1252,100.5,100.5,0.0,449,422
738,1252,22,412,46,1251,100.5,100.5,0.0,449,427
739,1253,24,412,46,1251,100.5,100.5,0.0,431,427
740,1251,24,412,46,1255,100.5,100.5,-0.7,431,409
741,1251,24,412,46,1253,100.5,100.5,-0.7,422,409
742,1250,24,411,46,1246,100.5,100.5,0.0,441,427
743,1253,24,411,46,1248,100.5,100.5,0.0,441,427
744,1253,24,411,46,1241,100.5,100.5,0.1,431,400
745,1253,24,411,46,1234,100.5,100.5,0.0,431,414
746,1252,22,408,46,1234,100.5,100.5,-0.7,427,414
747,1251,24,407,46,1232,100.5,100.5,0.0,427,409
748,1253,26,407,46,1240,100.5,100.5,0.0,422,409
749,1253,26,407,46,1250,100.5,100.5,0.0,436,414
750,1251,26,408,46,1256,100.5,100.5,0.0,436,414
751,1253,26,408,46,1260,100.5,100.5,0.0,445,418
752,1252,28,408,46,1252,100.5,100.5,0.0,445,418
753,1250,28,408,46,1250,100.5,100.5,0.0,422,418
754,1253,28,408,46,1255,100.5,100.5,-0.7,422,418
755,1250,30,407,46,1260,100.5,100.5,-0.7,436,418
756,1254,26,408,46,1257,100.5,100.5,-0.7,449,414
757,1253,26,408,46,1262,100.5,100.5,0.0,449,414
758,1251,28,409,46,1257,100.5,100.5,0.0,431,427
759,1250,28,410,46,1256,100.5,100.5,0.0,431,409
760,1242,28,411,45,1258,100.5,100.5,0.0,441,409
761,1240,28,410,45,1262,100.5,100.5,-0.7,441,418
762,1241,24,411,45,1256,100.5,100.5,0.0,449,418
763,1241,26,412,45,1259,100.5,100.5,0.0,445,427
764,1240,26,412,45,1258,100.5,100.5,0.0,445,427
765,1241,26,412,45,1257,100.5,100.5,0.0,427,409
766,1240,24,412,45,1253,100.5,100.5,0.0,427,422
767,1243,24,412,46,1251,100.5,100.5,0.0,427,422
768,1241,26,411,45,1248,100.5,100.5,0.0,427,418
769,1240,22,411,45,1246,100.5,100.5,-0.7,427,418
770,1243,22,410,46,1240,100.5,100.5,-0.7,427,418
771,1241,22,410,45,1243,100.5,100.5,0.0,427,418
772,1240,20,410,45,1238,100.5,100.5,0.0,436,400
773,1241,18,410,45,1243,100.5,100.5,0.0,436,400
774,1241,22,409,45,1238,100.5,100.5,0.0,418,400
775,1241,22,410,45,1240,100.5,100.5,0.0,418,404
776,1243,24,410,46,1245,100.5,100.5,-0.7,427,404
777,1240,20,410,45,1245,100.5,100.5,-0.7,422,395
778,1243,20,410,45,1245,100.5,100.5,0.0,422,395
779,1240,20,410,45,1245,100.5,100.5,0.0,422,390
780,1243,18,410,45,1245,100.5,100.5,-0.7,422,400
781,1240,20,410,45,1239,100.5,100.5,0.0,414,400
782,1243,22,409,46,1237,100.5,100.5,-0.7,414,404
783,1241,20,410,46,1245,100.5,100.5,-0.7,404,404
784,1240,22,410,45,1246,100.5,100.5,-0.7,414,382
785,1241,20,410,45,1246,100.5,100.5,0.1,414,382
786,1240,20,411,45,1248,100.5,100.5,-0.7,422,382
787,1243,20,410,46,1237,100.5,100.5,0.0,422,386
788,1241,20,409,45,1240,100.5,100.5,-0.7,422,386
789,1241,18,409,45,1240,100.5,100.5,0.0,422,386
790,1240,20,409,45,1239,100.5,100.5,-0.7,409,386
791,1241,20,410,45,1242,100.5,100.5,0.0,414,382
792,1241,20,410,45,1238,100.5,100.5,-0.7,414,382
793,1240,20,409,45,1242,100.5,100.5,-0.7,400,390
794,1243,18,409,46,1242,100.5,100.5,0.0,400,390
795,1241,18,409,45,1243,100.5,100.5,0.0,400,390
796,1241,22,410,45,1238,100.5,100.5,0.0,400,377
797,1240,18,409,45,1245,100.5,100.5,0.1,400,377
798,1241,20,409,45,1238,100.5,100.5,0.0,404,368
799,1239,22,409,45,1239,100.5,100.5,0.0,404,368
800,1241,22,409,45,1244,100.5,100.5,-0.7,395,377
801,1240,20,410,45,1246,100.5,100.5,-0.7,395,368
802,1241,20,410,45,1242,100.5,100.5,-0.7,414,368
803,1240,18,410,45,1245,100.5,100.5,0.0,414,377
804,1241,18,410,46,1246,100.5,100.5,0.0,400,377
805,1240,18,410,45,1246,100.5,100.5,-0.7,400,373
806,1240,18,410,45,1241,100.5,100.5,0.0,400,373
807,1241,20,410,46,1242,100.5,100.5,0.0,395,363
808,1241,20,410,45,1241,100.5,100.5,0.0,395,359
809,1242,20,410,45,1242,100.5,100.5,0.0,409,359
810,1240,20,409,45,1245,100.5,100.5,0.0,409,368
811,1240,20,409,45,1241,100.5,100.5,0.0,400,368
812,1240,20,409,45,1237,100.5,100.5,0.0,395,373
813,1241,18,410,45,1243,100.5,100.5,0.0,395,373
814,1243,16,410,46,1243,100.5,100.5,-0.7,382,373
815,1243,20,410,46,1243,100.5,100.5,0.0,382,382
816,1243,18,410,45,1238,100.5,100.5,0.0,390,382
817,1241,20,410,45,1243,100.5,100.5,0.0,390,368
818,1241,20,410,45,1243,100.5,100.5,-0.7,404,368
819,1241,20,410,45,1243,100.5,100.5,-0.7,400,382
820,1240,18,410,45,1239,100.5,100.5,0.0,400,382
821,1241,20,409,45,1242,100.5,100.5,0.0,386,377
822,1240,18,410,45,1241,100.5,100.5,0.0,386,377
823,1241,18,410,45,1238,100.5,100.5,0.0,400,377
824,1241,18,409,45,1239,100.5,100.5,0.0,400,363
825,1241,20,410,45,1244,100.5,100.5,0.0,400,363
826,1241,20,410,45,1242,100.5,100.5,-0.7,395,373
827,1241,20,410,45,1238,100.5,100.5,0.0,395,373
828,1240,20,410,45,1238,100.5,100.5,0.0,377,354
829,1243,20,410,46,1245,100.5,100.5,0.0,377,373
830,1241,18,410,45,1238,100.5,100.5,-0.7,390,373
831,1241,16,410,45,1245,100.5,100.5,-0.7,390,373
832,1241,18,410,45,1245,100.5,100.5,0.0,400,373
833,1240,20,410,45,1243,100.5,100.5,-0.7,400,373
834,1243,18,409,46,1245,100.5,100.5,0.0,382,373
835,1241,18,410,45,1238,100.5,100.5,0.0,382,373
836,1241,18,410,45,1245,100.5,100.5,0.0,382,349
837,1241,16,410,46,1242,100.5,100.5,0.0,382,349
838,1113,18,411,36,1233,100.5,100.5,0.0,382,349
839,849,16,411,15,1130,100.5,100.5,0.1,382,349
840,847,14,409,15,1031,100.5,100.5,0.0,377,349
841,847,14,394,15,963,100.5,100.5,0.1,377,349
842,846,14,383,15,887,100.5,100.5,-0.7,386,354
843,847,12,374,15,854,100.5,100.5,0.1,354,354
844,847,12,366,15,839,100.5,100.5,0.0,354,336
845,847,10,360,15,842,100.5,100.5,0.0,368,336
846,847,10,355,15,841,100.5,100.5,0.1,368,332
847,846,10,354,15,846,100.5,100.5,0.0,354,332
848,847,8,349,15,846,100.5,100.5,0.0,354,332
849,846,10,348,15,849,100.5,100.5,-0.7,336,332
850,846,6,348,15,846,100.5,100.5,0.0,336,336
851,847,8,347,15,847,100.5,100.5,0.0,336,336
852,846,6,347,15,849,100.5,100.5,0.0,332,332
853,847,8,346,15,849,100.5,100.5,-0.7,332,332
854,846,8,346,15,845,100.5,100.5,0.1,345,308
855,848,6,346,15,844,100.5,100.5,0.0,345,313
856,846,6,345,15,849,100.5,100.5,-0.7,332,313
857,847,6,345,15,847,100.5,100.5,0.0,332,308
858,846,6,345,15,849,100.5,100.5,0.0,318,308
859,847,6,345,15,841,100.5,100.5,0.0,318,313
860,847,6,345,15,846,100.5,100.5,-0.7,332,313
861,847,6,344,15,847,100.5,100.5,0.0,332,299
862,846,6,344,15,849,100.5,100.5,0.0,322,304
863,847,6,344,15,847,100.5,100.5,-0.7,322,304
864,847,6,345,15,848,100.5,100.5,-0.7,318,290
865,846,6,345,15,845,100.5,100.5,-0.7,318,290
866,848,4,344,15,841,100.5,100.5,0.0,318,285
867,847,4,344,15,848,100.5,100.5,0.0,318,285
868,847,4,343,15,850,100.5,100.5,0.0,313,285
869,847,4,344,15,843,100.5,100.5,0.0,318,285
870,847,4,344,15,844,100.5,100.5,0.0,318,276
871,846,6,344,15,845,100.5,100.5,0.0,304,276
872,846,6,344,15,847,100.5,100.5,0.1,304,280
873,846,4,344,15,845,100.5,100.5,0.1,304,276
874,847,4,344,15,843,100.5,100.5,-0.7,304,276
875,847,4,344,15,850,100.5,100.5,0.0,313,285
876,847,4,344,15,848,100.5,100.5,0.0,304,285
877,847,6,344,15,851,100.5,100.5,0.0,304,266
878,847,4,344,15,846,100.5,100.5,0.1,304,266
879,846,4,344,15,848,100.5,100.5,0.0,304,271
880,847,4,344,15,843,100.5,100.5,0.1,304,266
881,847,6,343,15,842,100.5,100.5,-0.7,304,266
882,847,4,343,15,849,100.5,100.5,0.1,299,276
883,847,4,343,15,847,100.5,100.5,0.0,299,276
884,847,6,343,15,851,100.5,100.5,0.0,280,280
885,853,6,344,16,852,100.5,100.5,0.0,304,280
886,853,4,344,16,851,100.5,100.5,0.0,304,257
887,853,6,344,16,850,100.5,100.5,0.1,285,257
888,853,4,344,16,846,100.5,100.5,0.0,285,247
889,853,4,344,16,851,100.5,100.5,-0.7,285,247
890,852,4,344,16,846,100.5,100.5,0.0,285,266
891,853,4,343,16,846,100.5,100.5,0.0,290,266
892,853,6,343,16,847,100.5,100.5,-0.7,290,271
893,853,4,342,16,846,100.5,100.5,-0.7,290,271
894,852,4,342,16,848,100.5,100.5,0.0,280,247
895,853,4,342,16,849,100.5,100.5,-0.7,280,247
896,853,6,343,16,854,100.5,100.5,-0.7,280,252
897,853,4,343,16,851,100.5,100.5,-0.7,280,262
898,853,4,343,16,849,100.5,100.5,0.1,285,262
899,853,4,343,16,855,100.5,100.5,-0.7,285,266
900,853,4,344,16,851,100.5,100.5,-0.7,276,266
901,852,4,344,16,851,100.5,100.5,-0.7,276,257
902,853,4,344,16,853,100.5,100.5,0.0,299,257
